PROVINCIE,GEMEENTENUMMER,GEMEENTENAAM,SOORT INSTELLING,BRIN NUMMER ACTUEEL,INSTELLINGSNAAM ACTUEEL,CROHO ONDERDEEL,CROHO SUBONDERDEEL,OPLEIDINGSCODE ACTUEEL,OPLEIDINGSNAAM ACTUEEL,OPLEIDINGSVORM,OPLEIDINGSFASE ACTUEEL,SOORT DIPLOMA,2011 MAN,2011 VROUW,2012 MAN,2012 VROUW,2013 MAN,2013 VROUW,2014 MAN,2014 VROUW,2015 MAN,2015 VROUW
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68507,M Leraar Voorbereidend Hoger Onderwijs in Godsdienst en Levensbeschouwing,voltijd onderwijs,master,wo postmaster,0,0,1,1,0,1,4,0,1,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68508,M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen,deeltijd onderwijs,master,wo postmaster,0,1,0,0,0,0,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68508,M Leraar Voorbereidend Hoger Onderwijs in Kunstgeschiedenis en Culturele en Kunstzinnige Vorming/Kunst Algemeen,voltijd onderwijs,master,wo postmaster,0,6,0,0,0,2,1,2,0,3
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68509,M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen,deeltijd onderwijs,master,wo postmaster,0,2,1,2,0,3,0,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68509,M Leraar Voorbereidend Hoger Onderwijs in Maatschappijleer en Maatschappijwetenschappen,voltijd onderwijs,master,wo postmaster,2,6,4,6,5,5,3,4,4,3
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68511,M Leraar Voorbereidend Hoger Onderwijs in Natuurkunde,deeltijd onderwijs,master,wo postmaster,1,0,0,0,0,0,1,0,0,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68511,M Leraar Voorbereidend Hoger Onderwijs in Natuurkunde,voltijd onderwijs,master,wo postmaster,0,1,0,0,0,0,1,0,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68512,M Leraar Voorbereidend Hoger Onderwijs in Nederlands,deeltijd onderwijs,master,wo postmaster,0,0,1,3,1,0,0,0,0,2
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68512,M Leraar Voorbereidend Hoger Onderwijs in Nederlands,voltijd onderwijs,master,wo postmaster,3,12,5,5,3,12,3,11,0,7
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68513,M Leraar Voorbereidend Hoger Onderwijs in Scheikunde,deeltijd onderwijs,master,wo postmaster,0,1,0,0,0,1,1,0,1,0
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68513,M Leraar Voorbereidend Hoger Onderwijs in Scheikunde,voltijd onderwijs,master,wo postmaster,2,2,1,1,0,1,1,1,0,1
Gelderland,268,NIJMEGEN,reguliere inst.,21PM,Radboud Universiteit Nijmegen,onderwijs,universitaire lerarenopleidingen,68514,M Leraar Voorbereidend Hoger Onderwijs in Spaans,deeltijd onderwijs,master,wo postmaster,0,1,0,0,0,2,0,0,0,0
